YEAR,MONTH,MONTH_BY_N,DAY,COUNTRY,STATE,STATECODE,KEY,DISTRICT,TOWN_CITY,VILLAGE,KILLED,INJURED,ARRESTS,DURATION_I,SOURCE,SOURCE_DAT,REPORTED_C,LOCAL_PREC,LINK_MADE_,OFFICIALS,OFFICIALS_,POLICE_VS_,DALIT_MUSL,TYPE_OF_PO,CODING_QUE,PROBABLE_C,RELIABILIT,NOTES
1950,March,3,4,India,Uttar Pradesh,UP,UP195003,Bareilly,Pilibhit,,,,600,1,Times of India,"March 6,9 1950",Public Rituals\Festivities (Holi),Religious Procession,,,,,no,,,Definite Case,5,"“Lucknow, March 6: The situation in four towns in the Uttar Pradesh State, Aligarh, Moradabad, Pilibhit and Bareilly, was reported to be normal yesterday. There have been no further clashes.”TOI March 7, 1950“Bareilly, March 10: There was renewed tension in the city yesterday when four people were killed in an incident in the Kalibari area. Police carried out extensive house searches and arrested 35 persons. Heavy police patrolling continues. The total number of arrests so far for violation of curfew in the city is about 600.”TOI March 11, 1950“Lucknow, March 15: Mr Lal Bahadur Shastri, Home Minister who returned here after a three-day tour of the Shahjahanpur, Bareilly, and Pilibhit Districts where communal disturbances occurred during the Holi festival, told journalists to-day that the situation was quiet and control.  The Minister revealed that 68 persons, including Muslims and non-Muslims, had been killed in the three districts and at Aligarh and Moradabad. These figures included about a dozen killed in police firing on rioters.  Tracing the origin of the trouble, Mr. Shastri observed that in most cases coloured water was thrown on Muslims, this leading to isolated incidents which spread to other localities.  Mr. Shastri added that local authorities had taken “strong action’ in the affected areas, where about 2,000 persons had been arrested.Bareilly: Dusk-to dawn curfew continues in Bareilly City. the only incident reported was the discovery in the Civil Lines area of the body of a rickshaw puller who was shot dead apparently on Sunday night.”TOI March 17, 1950"
1950,March,3,4,India,Uttar Pradesh,UP,UP195003,Moradabad,Moradabad,,,,,1,Times of India,"March 6,9 1950",Public Rituals\Festivities (Holi),Religious Procession,,,,,no,,,Definite Case,5,"“Lucknow, March 6: The situation in four towns in the Uttar Pradesh State, Aligarh, Moradabad, Pilibhit and Bareilly, was reported to be normal yesterday. There have been no further clashes.”TOI March 7, 1950“Bareilly, March 10: There was renewed tension in the city yesterday when four people were killed in an incident in the Kalibari area. Police carried out extensive house searches and arrested 35 persons. Heavy police patrolling continues. The total number of arrests so far for violation of curfew in the city is about 600.”TOI March 11, 1950“Lucknow, March 15: Mr Lal Bahadur Shastri, Home Minister who returned here after a three-day tour of the Shahjahanpur, Bareilly, and Pilibhit Districts where communal disturbances occurred during the Holi festival, told journalists to-day that the situation was quiet and control.  The Minister revealed that 68 persons, including Muslims and non-Muslims, had been killed in the three districts and at Aligarh and Moradabad. These figures included about a dozen killed in police firing on rioters.  Tracing the origin of the trouble, Mr. Shastri observed that in most cases coloured water was thrown on Muslims, this leading to isolated incidents which spread to other localities.  Mr. Shastri added that local authorities had taken “strong action’ in the affected areas, where about 2,000 persons had been arrested.Bareilly: Dusk-to dawn curfew continues in Bareilly City. the only incident reported was the discovery in the Civil Lines area of the body of a rickshaw puller who was shot dead apparently on Sunday night.”TOI March 17, 1950"
1950,March,3,4,India,Uttar Pradesh,UP,UP195003,Shahjahanpur,Shahjahanpur,,,,,1,Times of India,"March 6,9 1950",Public Rituals\Festivities (Holi),Religious Procession,,,,,no,,,Definite Case,5,"“Lucknow, March 6: The situation in four towns in the Uttar Pradesh State, Aligarh, Moradabad, Pilibhit and Bareilly, was reported to be normal yesterday. There have been no further clashes.”TOI March 7, 1950“Bareilly, March 10: There was renewed tension in the city yesterday when four people were killed in an incident in the Kalibari area. Police carried out extensive house searches and arrested 35 persons. Heavy police patrolling continues. The total number of arrests so far for violation of curfew in the city is about 600.”TOI March 11, 1950“Lucknow, March 15: Mr Lal Bahadur Shastri, Home Minister who returned here after a three-day tour of the Shahjahanpur, Bareilly, and Pilibhit Districts where communal disturbances occurred during the Holi festival, told journalists to-day that the situation was quiet and control.  The Minister revealed that 68 persons, including Muslims and non-Muslims, had been killed in the three districts and at Aligarh and Moradabad. These figures included about a dozen killed in police firing on rioters.  Tracing the origin of the trouble, Mr. Shastri observed that in most cases coloured water was thrown on Muslims, this leading to isolated incidents which spread to other localities.  Mr. Shastri added that local authorities had taken “strong action’ in the affected areas, where about 2,000 persons had been arrested.Bareilly: Dusk-to dawn curfew continues in Bareilly City. the only incident reported was the discovery in the Civil Lines area of the body of a rickshaw puller who was shot dead apparently on Sunday night.”TOI March 17, 1950"
1950,March,3,4,India,Uttar Pradesh,UP,UP195003,"General total for Moradabad, Pilibhit, Bareilly, Moradabad and Aligarh is 68killed and 2000 arrested.Minus total for individual cities.",,,57,,1300,1,Times of India,"March 6,9 1950",Public Rituals\Festivities (Holi),Religious Procession,,,,,no,,,Definite Case,5,"“Lucknow, March 6: The situation in four towns in the Uttar Pradesh State, Aligarh, Moradabad, Pilibhit and Bareilly, was reported to be normal yesterday. There have been no further clashes.”TOI March 7, 1950“Bareilly, March 10: There was renewed tension in the city yesterday when four people were killed in an incident in the Kalibari area. Police carried out extensive house searches and arrested 35 persons. Heavy police patrolling continues. The total number of arrests so far for violation of curfew in the city is about 600.”TOI March 11, 1950“Lucknow, March 15: Mr Lal Bahadur Shastri, Home Minister who returned here after a three-day tour of the Shahjahanpur, Bareilly, and Pilibhit Districts where communal disturbances occurred during the Holi festival, told journalists to-day that the situation was quiet and control.  The Minister revealed that 68 persons, including Muslims and non-Muslims, had been killed in the three districts and at Aligarh and Moradabad. These figures included about a dozen killed in police firing on rioters.  Tracing the origin of the trouble, Mr. Shastri observed that in most cases coloured water was thrown on Muslims, this leading to isolated incidents which spread to other localities.  Mr. Shastri added that local authorities had taken “strong action’ in the affected areas, where about 2,000 persons had been arrested.Bareilly: Dusk-to dawn curfew continues in Bareilly City. the only incident reported was the discovery in the Civil Lines area of the body of a rickshaw puller who was shot dead apparently on Sunday night.”TOI March 17, 1950"
1950,March,3,5,India,Madhya Pradesh,MP,MP195003,,Katni,,21,40,,1,Times of India,6-Mar-13,Public Rituals\Festivities (Holi),Other,No,,,,no,,,Definite Case,5,A communal riot broke out over the throwing of colored water during Holi celebrations. A number of shops were looted and some burnt.
1950,March,3,5,India,Madhya Pradesh,MP,MP195003,Gwalior,Gwalior,,2,5,,2,Times of India,"March 6,7  1950",Public Rituals\Festivities (Holi),Other,No,,,,no,,,Definite Case,5,"A party celebrating Holi threw colored water on some persons who objected to it, and this resulted in a clash. There were stabbings and arsons and curfew was imposed."
1950,March,3,12,India,Maharashtra,MA,MA195003,,Nagpur,,1,2,,1,Times of India,13-Mar-50,Cause Insufficiently Reported,Unknown,,,,,no,,,,,"“Ahmedabad March 13: Three cases of stabbing, two of which proved fatal, have been reported in the city today. The police are patrolling the affected areas. Nagpur: following an incident on Monday evening, in which one person died of stab wounds and two were injured, one seriously, in the city area, police patrols were strengthened and curfew rigidly enforced in certain specified parts of the city on Monday night. Lucknow, according to reports received here"
1950,March,3,13,India,Maharashtra ,MA,MA195003,,Nagpur,,1,2,150,1,Times of India,16-Mar-50,Cause Insufficiently Reported,Unknown,Yes,,,,no,,,Definite Case,5,"NAGPUR, March 14: More than 150 persons have been areested in Nagpur and an order under Sec 144 cpc has been promulgated. A nine hour curfew has also been imposed... following a stabbing incident last night in which 1 person was killed and 2 were seriously injured.There has been some tension in the city since last Sunday when communal disturbances occurred at Kamptee, some 10 miles from here. About 500 Muslim families from Kamptee came to Nagpur and it is understood  this gave rise to rumors and created further tension in the city."
1950,March,3,13,India,Gujarat,GU,GU195003,Ahmadabad,Ahmadabad,,2,1,,1,Times of India,15-Mar-50,Cause Insufficiently Reported,Unknown,No,,,,no,,,Yes-Strong Likelihood,4,"AHMEDABAD, March 13: Three cases of stabbing of which two proved fatal were reported in the city today. The police are patrolling the affected areas. --- P.T.I."
1950,March,3,14,India,Andhra Pradesh,AP,AP195003,,Khairatabad area of Hyderabad city,,,20,,1,Times of India,16-Mar-50,Cause Insufficiently Reported,Unknown,No,"M.K. Vellodi (CM), S.N. Reddy (Commissioner of Police)",,,no,,,Yes-Strong Likelihood,4,"Secunderabad: Disturbances were reported in Khairatabad on Tuesday night, resulting in injuries to 20 persons. On receipt of information, Vellodi and Reddy reached the spot and the situation was brought under control. Congress and Jamaat-ul-Ulema workers also helped restoring law and order. Many goondas have been arrested. --- U.P.I. "
1950,March,3,14,India,Maharashtra ,MA,MA195003,,Nagpur,,2,1,,1,Times of India,,Cause Insufficiently Reported,Unknown,,,,,no,,,,,"“Ahmedabad March 13: Three cases of stabbing, two of which proved fatal, have been reported in the city today. The police are patrolling the affected areas. Nagpur: following an incident on Monday evening, in which one person died of stab wounds and two were injured, one seriously, in the city area, police patrols were strengthened and curfew rigidly enforced in certain specified parts of the city on Monday night. Lucknow, according to reports received here"
1950,March,3,15,India,Gujarat,GU,GU195003,Kaira,Umreth,,,,,,Times of India,17-Mar-50,Cause Insufficiently Reported,Unknown,No,,,,no,,,Definite Case,5,"KAIRA PRECAUTIONSAhmedabad: An order under Section 144 cpc was promulgated on Wednesday for two weeks in Umreth, a town in Kaira district. There was communal tension there after a house was set on fire. Several arrests were effected and armed police were patrolling the streets."
1950,March,3,16,India,Gujarat,GU,GU195003,Vadodara (Baroda),Vadodara (Baroda),,1,1,0,1,Times of India,18-Mar-50,Cause Insufficiently Reported,Unknown,No,"S. Benjamin (District Collector), B.C. Shah (DSP)",,,no,Home Guards,,Definite Case,5,"There were disturbances at Mangal Bazaar in which one man was stabbed to death and another injured. The DC and the DSP are making on the spot investigations. The Police assisted by the Home Guards are patrolling the area, and a three day curfew has been promulgated."
1950,March,3,17,India,Uttar Pradesh,UP,UP195003,Agra,Agra,,,,,1,Times of India,19-Mar-50,Cause Insufficiently Reported,Unknown,,,,,no,,,Yes-Strong Likelihood,4,"“Agra, March 18: A dusk-to-dawn curfew was enforced yesterday in Agra for...days following a minor incident. Two arson cases were reported last night, but the Municipal Fire Brigade promptly controlled the fires.Precautionary measures have been taken and armed police have been posted at strategic points. The situation this morning was normal.”TOI March 19, 1950"
1950,March,3,18,India,West Bengal,WB,WB195003,24 Parganas,Khardah,,3,6,,1,Times of India,21-Mar-50,Cause Insufficiently Reported,Unknown,No,,,,no,,,Yes-Strong Likelihood,4,"CALCUTTA, March 19: In an incident in Khardah (24 Parganas) last night, about 14 miles from Calcutta, three persons were killed and six injured. A number of huts in a local bustee were burnt.The same night in a similar incident in Dum Dum, about six miles from here, two persons were killed and two injured. A number of shops and houses were looted. The police soon arrived on the spot and brought the situation under control."
1950,March,3,18,India,West Bengal,WB,WB195003,24 parganas,Dum Dum,,2,2,,1,Times of India,21-Mar-50,Cause Insufficiently Reported,Unknown,No,,,,no,,,Yes-Strong Likelihood,4,"CALCUTTA, March 19: In an incident in Khardah (24 Parganas) last night, about 14 miles from Calcutta, three persons were killed and six injured. A number of huts in a local bustee were burnt.The same night in a similar incident in Dum Dum, about six miles from here, two persons were killed and two injured. A number of shops and houses were looted. The police soon arrived on the spot and brought the situation under control."
1950,March,3,19,India,Delhi,DE,DE195003,,Delhi,,2,19,3,2,Times of India,"March 21, 23, 1950",Previous Violence (Communal),Speech by religious/political leader,No,,,,no,Armed Police,,Definite Case,5,"The Hindu Mahasabha held a meeting at the Ramlila grounds, in connection with the events in East Bengal. Certain persons, on their way back from the meeting, made stray assaults on passers-by in the Turkman Gate and Chauri Bazar areas. The trouble lasted for a few minutes only and was immediately localized. A large contingent of armed police is patrolling the area to prevent trouble from spreading.A report on the 23rd states that apart from a stray case of stabbing in a locality near the Delhi railway station, the city continued to be normal."
1950,March,3,21,India,gujarat,MA,MA195003,Dohad,Dohad,,1,4,,1,Times of India,23-Mar-50,Cause Insufficiently Reported,Unknown,No,,,,no,,,Yes-Strong Likelihood,4,"DOHAD, March 22: One person was killed in a riot here last night and four persons received injuries. Additional police were rushed from Godhra and by midnight the situation was under control. An order banning the assembly of five or more persons has been promulgated."
1950,March,3,23,India,Andhra Pradesh,AP,AP195003,Gulbarga,Yadgir,,5,33,,1,Times of India,27-Mar-50,Other,Demonstration,No,,,,no,,,Definite Case,5,"The trouble started over some posters pasted in the town which caused offence to a section of the population. Some of these posters were found on the walls of the local high school and the pupils took objection to them. As a protest, they took out a procession, but on their way, when they had reached the butchers’ locality, stones were thrown at them. By this time, some adult members had also joined the procession, and a clash ensued. As news of this spread in the town, there was general rioting with serious cases of arson and looting."
1950,March,3,26,India,West Bengal,WB,WB195003,Hooghly,,Rishra,16,,54,1,Times of India,28-Mar-50,Cause Insufficiently Reported,Unknown,No,,,,no,,,Definite Case,5,There were also several cases of arson and looting. The cause and precipitating event have not been specified in the lengthy report.
1950,March,3,,India,Uttar Pradesh,UP,UP195003,Shahjahanpur,,Villages in distict,,,,1,Times of India,"March 6,9 1950",Public Rituals\Festivities (Holi),Religious Procession,,,,,no,,,Definite Case,5,"“Lucknow, March 6: The situation in four towns in the Uttar Pradesh State, Aligarh, Moradabad, Pilibhit and Bareilly, was reported to be normal yesterday. There have been no further clashes.”TOI March 7, 1950“Bareilly, March 10: There was renewed tension in the city yesterday when four people were killed in an incident in the Kalibari area. Police carried out extensive house searches and arrested 35 persons. Heavy police patrolling continues. The total number of arrests so far for violation of curfew in the city is about 600.”TOI March 11, 1950“Lucknow, March 15: Mr Lal Bahadur Shastri, Home Minister who returned here after a three-day tour of the Shahjahanpur, Bareilly, and Pilibhit Districts where communal disturbances occurred during the Holi festival, told journalists to-day that the situation was quiet and control.  The Minister revealed that 68 persons, including Muslims and non-Muslims, had been killed in the three districts and at Aligarh and Moradabad. These figures included about a dozen killed in police firing on rioters.  Tracing the origin of the trouble, Mr. Shastri observed that in most cases coloured water was thrown on Muslims, this leading to isolated incidents which spread to other localities.  Mr. Shastri added that local authorities had taken “strong action’ in the affected areas, where about 2,000 persons had been arrested.Bareilly: Dusk-to dawn curfew continues in Bareilly City. the only incident reported was the discovery in the Civil Lines area of the body of a rickshaw puller who was shot dead apparently on Sunday night.”TOI March 17, 1950“Lucknow: Though no incidents have been reported from Shahjahanpur for the last three days, a few cases of arson have been reported from Kheri, a town in the adjacent district of Lakhimpur. Collective fines have been imposed on some villages in Shahjehanpur district by the local authorities.”TOI March 20, 1950"
1950,March,3,,India,Uttar Pradesh,UP,UP195003,Lakhimpur,unknown,unknown,,,,1,Times of India,"March 6,9 1950",Public Rituals\Festivities (Holi),Religious Procession,,,,,no,,,Definite Case,5,"“Lucknow, March 6: The situation in four towns in the Uttar Pradesh State, Aligarh, Moradabad, Pilibhit and Bareilly, was reported to be normal yesterday. There have been no further clashes.”TOI March 7, 1950“Bareilly, March 10: There was renewed tension in the city yesterday when four people were killed in an incident in the Kalibari area. Police carried out extensive house searches and arrested 35 persons. Heavy police patrolling continues. The total number of arrests so far for violation of curfew in the city is about 600.”TOI March 11, 1950“Lucknow, March 15: Mr Lal Bahadur Shastri, Home Minister who returned here after a three-day tour of the Shahjahanpur, Bareilly, and Pilibhit Districts where communal disturbances occurred during the Holi festival, told journalists to-day that the situation was quiet and control.  The Minister revealed that 68 persons, including Muslims and non-Muslims, had been killed in the three districts and at Aligarh and Moradabad. These figures included about a dozen killed in police firing on rioters.  Tracing the origin of the trouble, Mr. Shastri observed that in most cases coloured water was thrown on Muslims, this leading to isolated incidents which spread to other localities.  Mr. Shastri added that local authorities had taken “strong action’ in the affected areas, where about 2,000 persons had been arrested.Bareilly: Dusk-to dawn curfew continues in Bareilly City. the only incident reported was the discovery in the Civil Lines area of the body of a rickshaw puller who was shot dead apparently on Sunday night.”TOI March 17, 1950“Lucknow: Though no incidents have been reported from Shahjahanpur for the last three days, a few cases of arson have been reported from Kheri, a town in the adjacent district of Lakhimpur. Collective fines have been imposed on some villages in Shahjehanpur district by the local authorities.”TOI March 20, 1950"
1950,March,3,,India,West Bengal,WB,WB195003,Calcutta,Calcutta,,,3,109,1,Times of India,13-Mar-50,Previous Violence (Communal),Previous Violence (Communal),,,,,no,,,,,M mob attacked H house in Calcutta
1950,March,3,,India,Maharashtra,MA,MA195003,Bombay,Bombay,,9,21,344,1,Times of India,"March 15, 16, 17",Cause Insufficiently Reported,Unknown,,,,,no,,,,,
